child,parent
GNAI3,R-HSA-9660821
GNAS,R-HSA-9660821
GNAT3,R-HSA-9660821
GNAZ,R-HSA-9660821
GNB1,R-HSA-9660821
GNB2,R-HSA-9660821
GNB3,R-HSA-9660821
GNB4,R-HSA-9660821
GNB5,R-HSA-9660821
GNG10,R-HSA-9660821
GNG11,R-HSA-9660821
GNG12,R-HSA-9660821
GNG13,R-HSA-9660821
GNG2,R-HSA-9660821
GNG3,R-HSA-9660821
GNG4,R-HSA-9660821
GNG5,R-HSA-9660821
GNG7,R-HSA-9660821
GNG8,R-HSA-9660821
GNGT1,R-HSA-9660821
GNGT2,R-HSA-9660821
IL6,R-HSA-9660821
PRKACA,R-HSA-9660821
PRKACB,R-HSA-9660821
PRKACG,R-HSA-9660821
PRKAR1A,R-HSA-9660821
PRKAR1B,R-HSA-9660821
PRKAR2A,R-HSA-9660821
PRKAR2B,R-HSA-9660821
PRKX,R-HSA-9660821
GNA11,R-HSA-418592
GNA14,R-HSA-418592
GNA15,R-HSA-418592
GNAQ,R-HSA-418592
GNB1,R-HSA-418592
GNB2,R-HSA-418592
GNB3,R-HSA-418592
GNB4,R-HSA-418592
GNB5,R-HSA-418592
GNG10,R-HSA-418592
GNG11,R-HSA-418592
GNG12,R-HSA-418592
GNG13,R-HSA-418592
GNG2,R-HSA-418592
GNG3,R-HSA-418592
GNG4,R-HSA-418592
GNG5,R-HSA-418592
GNG7,R-HSA-418592
GNG8,R-HSA-418592
GNGT1,R-HSA-418592
GNGT2,R-HSA-418592
MAPK14,R-HSA-418592
P2RY1,R-HSA-418592
PLA2G4A,R-HSA-418592
SRC,R-HSA-418592
GNAI1,R-HSA-392170
GNAI2,R-HSA-392170
GNAI3,R-HSA-392170
GNAT3,R-HSA-392170
GNB1,R-HSA-392170
GNB2,R-HSA-392170
GNB3,R-HSA-392170
GNB4,R-HSA-392170
GNB5,R-HSA-392170
GNG10,R-HSA-392170
GNG11,R-HSA-392170
GNG12,R-HSA-392170
GNG13,R-HSA-392170
GNG2,R-HSA-392170
GNG3,R-HSA-392170
GNG4,R-HSA-392170
GNG5,R-HSA-392170
GNG7,R-HSA-392170
GNG8,R-HSA-392170
GNGT1,R-HSA-392170
GNGT2,R-HSA-392170
P2RY12,R-HSA-392170
AKT1,R-HSA-198323
AKT1S1,R-HSA-198323
AKT2,R-HSA-198323
AKT3,R-HSA-198323
BAD,R-HSA-198323
CASP9,R-HSA-198323
CDKN1A,R-HSA-198323
CDKN1B,R-HSA-198323
CHUK,R-HSA-198323
GSK3A,R-HSA-198323
GSK3B,R-HSA-198323
MDM2,R-HSA-198323
MKRN1,R-HSA-198323
TSC2,R-HSA-198323
AKT1,R-HSA-198693
AKT2,R-HSA-198693
AKT3,R-HSA-198693
CREB1,R-HSA-198693
FOXO1,R-HSA-198693
FOXO3,R-HSA-198693
FOXO4,R-HSA-198693
FOXO6,R-HSA-198693
NR4A1,R-HSA-198693
RPS6KB2,R-HSA-198693
AKT1,R-HSA-211163
AKT2,R-HSA-211163
AKT3,R-HSA-211163
FOXO1,R-HSA-211163
ALK,R-HSA-9700645
BCL11A,R-HSA-9700645
BIRC6,R-HSA-9700645
CLTC,R-HSA-9700645
EIF2AK3,R-HSA-9700645
EML4,R-HSA-9700645
FN1,R-HSA-9700645
HIP1,R-HSA-9700645
NPM1,R-HSA-9700645
PPM1B,R-HSA-9700645
PRKAR1A,R-HSA-9700645
STRN,R-HSA-9700645
ALKBH2,R-HSA-112122
ALKBH3,R-HSA-112126
ASCC1,R-HSA-112126
ASCC2,R-HSA-112126
ASCC3,R-HSA-112126
ADIPOQ,R-HSA-163680
ADIPOR1,R-HSA-163680
ADIPOR2,R-HSA-163680
MLXIPL,R-HSA-163680
PRKAA2,R-HSA-163680
PRKAB2,R-HSA-163680
PRKAG2,R-HSA-163680
STK11,R-HSA-163680
ADRM1,R-HSA-9931269
CD274,R-HSA-9931269
DERL1,R-HSA-9931269
DERL2,R-HSA-9931269
DERL3,R-HSA-9931269
ERLEC1,R-HSA-9931269
ERLIN1,R-HSA-9931269
ERLIN2,R-HSA-9931269
OS9,R-HSA-9931269
PRKAA1,R-HSA-9931269
PRKAA2,R-HSA-9931269
PRKAB1,R-HSA-9931269
PRKAB2,R-HSA-9931269
PRKAG1,R-HSA-9931269
PRKAG2,R-HSA-9931269
PRKAG3,R-HSA-9931269
PSMA1,R-HSA-9931269
PSMA2,R-HSA-9931269
PSMA3,R-HSA-9931269
PSMA4,R-HSA-9931269
PSMA5,R-HSA-9931269
PSMA6,R-HSA-9931269
PSMA7,R-HSA-9931269
PSMB1,R-HSA-9931269
PSMB2,R-HSA-9931269
PSMB3,R-HSA-9931269
